marca,nome,preco_antigo,centavos_antigo,preco_atual,centavos_atual,avaliacao,quantidade_avaliacoes
,Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve,99,99,68,99,4.5,(2266)
NEW BALANCE,Tênis New Balance Academia Couro Camurça Barato Envio Rápido,333,33,99,99,,
UNDER ARMOUR,Under Armour Pacer Masculino Adultos,449,99,226,89,4.7,(1465)
ASCENSION,Tênis Nuvem Masculino Leve Para Caminhada E Esportes,129,99,32,50,,
,Tenis Sport Titanium  Original - Esportivo,119,90,65,94,4.5,(4299)
PLAZA,Kit 4 Pares Tênis Masculino Casual Academia Caminhada Atacad,319,90,275,40,4.3,(517)
STARFLEX,Tênis Com Amortecedor Masculino Corrida Academia Flex Molas,154,99,131,74,4.6,(172)
ABUZZE,Tênis Masculino De Corrida I Free-run,99,90,9,71,,
VILI,Tênis Masculino Academia Caminhada Vili Barato Leve Corrida,109,90,10,68,4.5,(2922)
FILA,Tênis Confortável Masculino Fila Recovery Palmilha Macia,379,90,37,99,,
,Tênis Reebok Crossfit Nanoflex Tr V2 Masculino Original + Nf,399,90,359,91,,
,Tenis Masculino Para Academia #promoção,119,90,65,94,4.6,(818)
SKECHERS,Tênis Skechers 896249br Go Run Fast Valor Verde Militar,339,,33,,,
VANS,Tênis Vans Knu Skool White True Navy,269,90,151,14,,
,Kit 4 Pares Tênis Polo Fran Básico Trabalho Slim Dia A Dia,156,90,31,38,,
ASICS,Tênis Asics Revelation Couro Corrida Caminhada treino Barato,333,90,99,71,,
PUMA,Tênis Puma Suede Academia Homem Mulher Moda 34 A 43 Barato,333,33,99,99,,
OLYMPIKUS,Olympikus Treino Venum Sem gênero Adultos,229,99,152,94,4.8,(585)
UNDER ARMOUR,Under Armour Charged Wing SE Masculino Adultos,276,,30,,4.7,(30)
,Tênis Corrida Academia Caminhada Com Calce Fácil Lançamento,105,31,100,04,4.6,(598)
,Tênis Esportivo Masculino Para Corrida Academia Caminhada,99,90,71,92,,
HOKA ONE ONE,Tênis Hoka One One Cielo X1 Preto/col. C/ Placa De Carbono,2.399,,239,,,
WAVE,Promoção Tenis Ls Flor De Lotus Wave Premium Amortecedor,329,90,131,96,,
STREET,Kit 3 Tênis Masculino Olymp Corrida Confortavel,229,,32,,,
VANS,Tênis Vr3 Ultrarange Unissex Marshmallow,399,99,163,99,,
,Tenis Masculino Casual Esporte Treino Academia Caminhada Ll,79,90,26,63,,
,Tênis Esportivo Masculino Sneakers Em Tecido Ferracini,176,99,168,14,4.0,(3)
